,Hours_Studied,Attendance,Sleep_Hours,Cluster,Cluster_Name
113,35,99,7,0,C1
114,19,66,8,2,C3
115,22,89,6,1,C2
116,20,60,7,2,C3
117,13,84,5,1,C2
118,27,97,8,0,C1
119,25,72,8,2,C3
120,25,67,9,2,C3
121,15,86,7,0,C1
122,28,89,9,0,C1
123,12,88,6,1,C2
124,24,73,8,2,C3
125,33,70,6,2,C3
126,14,98,7,0,C1
127,17,97,8,0,C1
128,21,78,10,0,C1
129,17,94,8,0,C1
130,11,78,8,0,C1
131,20,77,6,1,C2
132,14,66,7,2,C3
133,23,77,7,2,C3
134,14,81,9,0,C1
135,29,61,7,2,C3
136,15,78,9,0,C1
137,18,91,5,1,C2
138,25,87,9,0,C1
139,13,85,6,1,C2
140,21,96,8,0,C1
141,28,61,6,2,C3
142,10,82,8,0,C1
143,21,91,6,1,C2
144,22,82,9,0,C1
145,25,73,8,2,C3
146,13,65,6,2,C3
147,12,96,8,0,C1
148,23,79,8,0,C1
149,22,95,6,1,C2
150,22,83,5,1,C2
151,22,87,5,1,C2
152,16,92,5,1,C2
153,21,86,5,1,C2
154,22,76,8,2,C3
155,16,81,8,0,C1
156,31,92,4,1,C2
157,23,75,6,1,C2
158,13,76,5,1,C2
159,24,64,8,2,C3
160,14,97,6,1,C2
161,25,64,5,2,C3
162,27,86,7,0,C1
163,15,77,8,2,C3
164,26,76,6,1,C2
165,22,87,7,0,C1
166,25,63,6,2,C3
167,31,84,9,0,C1
168,19,91,6,1,C2
169,15,93,6,1,C2
170,15,67,7,2,C3
171,15,96,7,0,C1
172,20,86,8,0,C1
173,22,95,9,0,C1
174,22,79,9,0,C1
175,25,82,6,1,C2
176,20,97,7,0,C1
177,29,96,9,0,C1
178,18,78,9,0,C1
179,36,71,6,2,C3
180,24,76,8,2,C3
181,15,76,8,2,C3
182,14,71,8,2,C3
183,23,71,9,2,C3
184,19,94,5,1,C2
185,24,63,6,2,C3
186,23,87,8,0,C1
187,20,67,7,2,C3
188,15,74,4,1,C2
189,11,62,5,2,C3
190,17,71,8,2,C3
191,25,91,8,0,C1
192,21,95,5,1,C2
193,13,69,9,2,C3
194,21,79,7,2,C3
195,22,79,5,1,C2
196,15,95,6,1,C2
197,21,91,5,1,C2
198,20,81,6,1,C2
199,13,87,4,1,C2
200,22,94,7,0,C1
201,23,60,8,2,C3
202,26,76,5,1,C2
203,26,96,7,0,C1
204,12,90,6,1,C2
205,14,82,8,0,C1
206,23,81,4,1,C2
207,23,74,8,2,C3
208,23,81,4,1,C2
209,43,86,7,0,C1
210,23,77,6,1,C2
211,27,89,6,1,C2
212,26,94,5,1,C2
213,24,66,9,2,C3
214,18,78,5,1,C2
215,25,76,5,1,C2
216,15,87,10,0,C1
217,19,70,7,2,C3
218,17,86,5,1,C2
219,20,95,7,0,C1
220,34,77,7,2,C3
221,9,96,4,1,C2
222,24,100,6,1,C2
223,10,64,7,2,C3
224,17,69,9,2,C3
225,27,98,7,0,C1
226,20,98,7,0,C1
227,14,64,6,2,C3
228,16,61,9,2,C3
229,24,66,8,2,C3
230,16,100,8,0,C1
231,21,67,7,2,C3
232,20,80,5,1,C2
233,16,94,9,0,C1
234,33,61,7,2,C3
235,24,84,7,0,C1
236,8,71,8,2,C3
237,21,94,7,0,C1
238,16,71,5,1,C2
239,25,87,7,0,C1
240,15,87,4,1,C2
241,19,69,7,2,C3
242,23,61,9,2,C3
243,25,76,4,1,C2
244,13,72,7,2,C3
245,18,92,8,0,C1
246,17,92,8,0,C1
247,16,78,6,1,C2
248,31,84,5,1,C2
249,22,84,6,1,C2
250,12,93,9,0,C1
251,26,77,4,1,C2
252,33,71,5,1,C2
253,26,71,6,2,C3
254,11,81,6,1,C2
255,17,78,7,2,C3
256,28,78,9,0,C1
257,16,64,5,2,C3
258,23,89,7,0,C1
259,25,69,7,2,C3
260,14,68,6,2,C3
261,20,77,5,1,C2
262,1,69,6,2,C3
263,14,83,6,1,C2
264,18,75,8,2,C3
265,13,78,8,0,C1
266,30,81,5,1,C2
267,11,68,6,2,C3
268,17,66,6,2,C3
269,21,95,10,0,C1
270,29,77,7,2,C3
271,11,76,5,1,C2
272,27,61,6,2,C3
273,20,80,6,1,C2
274,14,82,8,0,C1
275,23,82,8,0,C1
276,21,88,7,0,C1
277,16,67,7,2,C3
278,20,70,7,2,C3
279,18,92,7,0,C1
280,21,98,4,1,C2
281,24,65,7,2,C3
282,30,80,6,1,C2
283,13,69,5,1,C2
284,33,62,10,2,C3
285,8,73,7,2,C3
286,19,66,7,2,C3
287,24,88,6,1,C2
288,22,81,8,0,C1
289,16,66,5,1,C2
290,19,60,7,2,C3
291,17,92,6,1,C2
292,16,67,8,2,C3
293,25,84,6,1,C2
294,22,73,9,2,C3
295,16,83,7,0,C1
296,25,73,8,2,C3
297,22,63,8,2,C3
298,25,69,9,2,C3
299,24,68,6,2,C3
300,15,77,8,2,C3
301,17,86,4,1,C2
302,24,71,7,2,C3
303,24,60,6,2,C3
304,20,81,5,1,C2
305,21,84,6,1,C2
306,28,99,6,1,C2
307,16,84,7,0,C1
308,23,79,6,1,C2
309,19,83,7,0,C1
310,19,97,6,1,C2
311,27,93,6,1,C2
312,25,73,7,2,C3
313,25,69,7,2,C3
314,28,71,8,2,C3
315,20,80,8,0,C1
316,24,90,7,0,C1
317,18,80,8,0,C1
318,22,63,7,2,C3
319,19,89,7,0,C1
320,21,92,8,0,C1
321,24,72,6,2,C3
322,15,87,4,1,C2
323,33,77,5,1,C2
324,14,96,9,0,C1
325,13,94,7,0,C1
326,27,81,7,2,C3
327,25,88,7,0,C1
328,24,95,8,0,C1
329,24,80,7,2,C3
330,20,73,7,2,C3
331,15,90,8,0,C1
332,20,69,6,2,C3
333,16,76,8,2,C3
334,26,95,7,0,C1
335,19,89,7,0,C1
336,15,76,6,1,C2
337,18,69,7,2,C3
338,22,74,6,1,C2
339,17,71,9,2,C3
340,15,67,4,1,C2
341,21,90,8,0,C1
342,21,70,4,1,C2
343,17,78,8,2,C3
344,17,75,6,1,C2
345,21,99,8,0,C1
346,11,76,7,2,C3
347,12,63,5,2,C3
348,16,64,9,2,C3
349,19,84,8,0,C1
350,22,84,8,0,C1
351,29,77,6,1,C2
352,25,77,8,2,C3
353,19,62,5,2,C3
354,20,81,4,1,C2
355,14,80,5,1,C2
356,20,66,6,2,C3
357,18,64,6,2,C3
358,22,65,6,2,C3
359,15,64,6,2,C3
360,23,84,6,1,C2
361,29,68,4,1,C2
362,19,70,7,2,C3
363,22,67,7,2,C3
364,24,98,6,1,C2
365,18,94,9,0,C1
366,21,69,7,2,C3
367,20,73,7,2,C3
368,21,68,8,2,C3
369,15,80,5,1,C2
370,20,61,7,2,C3
371,23,87,8,0,C1
372,29,81,7,2,C3
373,26,96,5,1,C2
374,33,67,6,2,C3
375,15,92,7,0,C1
376,25,92,4,1,C2
377,21,65,5,2,C3
378,33,76,10,2,C3
379,15,67,8,2,C3
380,15,70,9,2,C3
381,16,71,8,2,C3
382,7,82,8,0,C1
383,17,76,7,2,C3
384,15,98,8,0,C1
385,21,65,9,2,C3
386,22,99,8,0,C1
387,31,69,7,2,C3
388,26,91,7,0,C1
389,17,74,8,2,C3
390,15,66,6,2,C3
391,23,94,8,0,C1
392,12,72,6,1,C2
393,31,86,6,1,C2
394,27,83,5,1,C2
395,17,79,6,1,C2
396,10,80,6,1,C2
397,28,89,10,0,C1
398,19,64,6,2,C3
399,27,87,8,0,C1
400,10,96,6,1,C2
401,16,62,7,2,C3
402,20,66,7,2,C3
403,20,89,4,1,C2
404,17,77,5,1,C2
405,24,76,6,1,C2
406,14,65,5,1,C2
407,19,80,7,2,C3
408,21,65,7,2,C3
409,23,79,5,1,C2
410,24,91,7,0,C1
411,13,70,6,2,C3
412,11,79,7,2,C3
413,28,100,6,1,C2
414,22,87,8,0,C1
415,16,94,9,0,C1
416,29,77,8,2,C3
417,21,91,9,0,C1
418,27,62,5,2,C3
419,20,65,6,2,C3
420,32,68,8,2,C3
421,31,76,9,2,C3
422,19,94,8,0,C1
423,26,74,5,1,C2
424,24,86,6,1,C2
425,28,88,8,0,C1
426,14,83,7,0,C1
427,24,74,6,2,C3
428,26,83,7,0,C1
429,9,74,7,2,C3
430,13,63,5,2,C3
431,8,100,8,0,C1
432,18,65,6,2,C3
433,24,63,7,2,C3
434,29,95,9,0,C1
435,20,72,7,2,C3
436,30,86,8,0,C1
437,12,73,5,1,C2
438,10,76,8,2,C3
439,20,70,8,2,C3
440,22,74,6,1,C2
441,20,76,7,2,C3
442,8,89,7,0,C1
443,19,80,7,2,C3
444,12,98,8,0,C1
445,24,62,6,2,C3
446,22,80,7,2,C3
447,14,83,9,0,C1
448,17,97,9,0,C1
449,14,62,8,2,C3
450,20,83,7,0,C1
451,26,94,10,0,C1
452,14,70,9,2,C3
453,23,95,7,0,C1
454,17,61,7,2,C3
455,15,89,6,1,C2
456,19,97,8,0,C1
457,14,86,8,0,C1
458,17,78,8,2,C3
459,13,62,7,2,C3
460,32,97,5,1,C2
461,20,79,7,2,C3
462,16,61,8,2,C3
463,21,88,6,1,C2
464,19,79,7,2,C3
465,19,65,9,2,C3
466,24,69,5,1,C2
467,25,63,7,2,C3
468,17,83,9,0,C1
469,17,85,7,0,C1
470,18,80,6,1,C2
471,6,93,7,0,C1
472,11,94,8,0,C1
473,28,85,7,0,C1
474,30,61,8,2,C3
475,19,88,7,0,C1
476,23,77,7,2,C3
477,22,83,8,0,C1
478,38,86,7,0,C1
479,27,74,6,2,C3
480,19,97,8,0,C1
481,14,65,7,2,C3
482,10,87,6,1,C2
483,21,60,8,2,C3
484,15,97,9,0,C1
485,11,65,7,2,C3
486,16,64,7,2,C3
487,14,73,5,1,C2
488,30,75,7,2,C3
489,25,69,7,2,C3
490,20,83,7,0,C1
491,29,78,6,1,C2
492,20,61,8,2,C3
493,15,73,7,2,C3
494,29,92,10,0,C1
495,23,88,7,0,C1
496,14,89,4,1,C2
497,19,88,5,1,C2
498,15,72,8,2,C3
499,12,64,6,2,C3
500,26,71,6,2,C3
501,31,93,5,1,C2
502,12,99,6,1,C2
503,23,80,7,2,C3
504,16,60,8,2,C3
505,17,66,5,1,C2
506,16,73,8,2,C3
507,15,83,5,1,C2
508,20,63,8,2,C3
509,15,98,8,0,C1
510,22,75,6,1,C2
511,20,97,5,1,C2
512,19,91,8,0,C1
513,15,90,6,1,C2
514,17,84,7,0,C1
515,25,85,8,0,C1
516,23,86,8,0,C1
517,14,85,6,1,C2
518,21,82,7,0,C1
519,25,99,6,1,C2
520,10,89,8,0,C1
521,23,91,9,0,C1
522,16,95,6,1,C2
523,23,69,7,2,C3
524,15,63,8,2,C3
525,9,79,7,2,C3
526,10,81,8,0,C1
527,20,93,7,0,C1
528,22,78,5,1,C2
529,15,83,7,0,C1
530,24,81,9,0,C1
531,10,62,7,2,C3
532,20,85,9,0,C1
533,13,93,4,1,C2
534,16,66,8,2,C3
535,20,84,6,1,C2
536,15,84,6,1,C2
537,18,67,9,2,C3
538,26,65,7,2,C3
539,17,99,6,1,C2
540,25,76,8,2,C3
541,13,69,4,1,C2
542,23,67,9,2,C3
543,29,87,10,0,C1
544,5,84,8,0,C1
545,15,86,8,0,C1
546,23,64,7,2,C3
547,19,96,5,1,C2
548,22,76,9,2,C3
549,16,73,8,2,C3
550,21,78,8,2,C3
551,19,76,8,2,C3
552,27,95,7,0,C1
553,22,97,6,1,C2
554,22,72,10,2,C3
555,18,95,7,0,C1
556,17,91,6,1,C2
557,17,97,9,0,C1
558,22,70,7,2,C3
559,17,83,7,0,C1
560,22,71,9,2,C3
561,32,93,8,0,C1
562,25,60,8,2,C3
563,18,83,5,1,C2
564,27,74,8,2,C3
565,18,73,5,1,C2
566,8,86,6,1,C2
567,14,94,7,0,C1
568,9,84,7,0,C1
569,18,94,8,0,C1
570,20,71,8,2,C3
571,30,81,8,0,C1
572,22,78,5,1,C2
573,19,60,10,2,C3
574,25,82,7,0,C1
575,7,86,9,0,C1
576,21,84,4,1,C2
577,25,89,7,0,C1
578,11,83,5,1,C2
579,27,63,6,2,C3
580,22,65,7,2,C3
581,18,84,6,1,C2
582,24,71,9,2,C3
583,34,63,10,2,C3
584,21,77,6,1,C2
585,21,82,6,1,C2
586,17,73,5,1,C2
587,15,89,9,0,C1
588,25,86,7,0,C1
589,15,73,7,2,C3
590,20,90,7,0,C1
591,17,86,7,0,C1
592,23,85,6,1,C2
593,22,82,7,0,C1
594,26,60,7,2,C3
595,17,88,8,0,C1
596,18,75,5,1,C2
597,14,98,7,0,C1
598,17,93,6,1,C2
599,22,84,7,0,C1
600,25,70,8,2,C3
601,14,68,6,2,C3
602,25,74,9,2,C3
603,28,79,4,1,C2
604,22,72,9,2,C3
605,31,81,9,0,C1
606,15,67,6,2,C3
607,13,99,6,1,C2
608,9,64,5,1,C2
609,29,97,8,0,C1
610,24,97,7,0,C1
611,20,81,6,1,C2
612,22,89,5,1,C2
613,13,77,10,0,C1
614,35,85,6,1,C2
615,21,74,7,2,C3
616,21,72,7,2,C3
617,24,83,6,1,C2
618,23,80,6,1,C2
619,21,83,6,1,C2
620,15,71,8,2,C3
621,23,75,6,1,C2
622,31,63,9,2,C3
623,28,62,6,2,C3
624,30,70,8,2,C3
625,17,63,4,1,C2
626,14,64,6,2,C3
627,19,93,6,1,C2
628,20,62,5,2,C3
629,27,86,7,0,C1
630,10,71,7,2,C3
631,29,95,4,1,C2
632,19,79,10,0,C1
633,17,72,7,2,C3
634,14,81,7,0,C1
635,10,75,9,2,C3
636,25,83,8,0,C1
637,20,65,7,2,C3
638,12,100,4,1,C2
639,12,77,8,2,C3
640,18,74,6,1,C2
641,30,88,9,0,C1
642,18,75,6,1,C2
643,11,93,6,1,C2
644,19,78,5,1,C2
645,18,89,5,1,C2
646,4,64,7,2,C3
647,20,94,7,0,C1
648,19,89,6,1,C2
649,24,68,10,2,C3
650,31,66,8,2,C3
651,27,73,7,2,C3
652,18,99,4,1,C2
653,13,70,8,2,C3
654,35,78,10,0,C1
655,20,61,7,2,C3
656,20,76,6,1,C2
657,20,83,7,0,C1
658,21,98,5,1,C2
659,19,81,8,0,C1
660,17,93,9,0,C1
661,17,82,6,1,C2
662,20,62,6,2,C3
663,17,73,7,2,C3
664,16,83,6,1,C2
665,21,98,5,1,C2
666,18,94,6,1,C2
667,29,69,6,2,C3
668,4,69,9,2,C3
669,27,68,9,2,C3
670,27,97,9,0,C1
671,8,94,8,0,C1
672,18,91,7,0,C1
673,18,76,6,1,C2
674,12,80,9,0,C1
675,15,79,8,0,C1
676,13,70,5,1,C2
677,31,80,6,1,C2
678,26,61,5,2,C3
679,28,65,4,1,C2
680,24,95,8,0,C1
681,13,90,5,1,C2
682,17,77,6,1,C2
683,23,81,7,0,C1
684,13,75,7,2,C3
685,24,90,6,1,C2
686,19,91,9,0,C1
687,18,91,5,1,C2
688,24,89,5,1,C2
689,23,68,8,2,C3
690,18,74,6,1,C2
691,27,79,6,1,C2
692,14,73,5,1,C2
693,24,90,8,0,C1
694,24,73,7,2,C3
695,18,66,7,2,C3
696,22,76,6,1,C2
697,12,99,6,1,C2
698,26,69,7,2,C3
699,19,84,8,0,C1
700,17,77,9,0,C1
701,26,63,9,2,C3
702,16,80,8,0,C1
703,12,88,8,0,C1
704,11,81,5,1,C2
705,24,95,6,1,C2
706,12,72,8,2,C3
707,31,63,7,2,C3
708,8,97,8,0,C1
709,30,75,8,2,C3
710,21,83,8,0,C1
711,19,92,5,1,C2
712,17,73,7,2,C3
713,22,89,6,1,C2
714,20,65,6,2,C3
715,27,72,4,1,C2
716,21,66,7,2,C3
717,21,92,4,1,C2
718,18,69,8,2,C3
719,20,89,9,0,C1
720,22,98,8,0,C1
721,10,81,7,0,C1
722,12,82,9,0,C1
723,24,78,7,2,C3
724,21,73,6,2,C3
725,19,79,7,2,C3
726,20,84,10,0,C1
727,22,99,5,1,C2
728,17,98,5,1,C2
729,15,94,8,0,C1
730,21,96,7,0,C1
731,14,79,6,1,C2
732,22,86,5,1,C2
733,10,96,4,1,C2
734,26,76,5,1,C2
735,23,98,9,0,C1
736,22,77,7,2,C3
737,26,84,4,1,C2
738,30,88,9,0,C1
739,26,98,9,0,C1
740,9,70,9,2,C3
741,12,90,6,1,C2
742,16,81,7,0,C1
743,20,71,7,2,C3
744,23,91,9,0,C1
745,16,82,6,1,C2
746,21,86,6,1,C2
747,15,73,8,2,C3
748,16,79,9,0,C1
749,12,85,7,0,C1
750,14,76,8,2,C3
751,12,68,7,2,C3
752,14,98,7,0,C1
753,26,80,6,1,C2
754,14,89,5,1,C2
755,36,76,6,2,C3
756,23,74,6,1,C2
757,21,76,7,2,C3
758,15,76,9,2,C3
759,24,82,7,0,C1
760,17,82,6,1,C2
761,21,80,8,0,C1
762,35,65,7,2,C3
763,19,80,8,0,C1
764,27,67,6,2,C3
765,16,65,9,2,C3
766,20,97,9,0,C1
767,31,84,7,0,C1
768,16,86,8,0,C1
769,31,76,9,2,C3
770,24,96,6,1,C2
771,17,86,7,0,C1
772,24,91,7,0,C1
773,26,75,5,1,C2
774,24,98,8,0,C1
775,11,93,9,0,C1
776,16,94,7,0,C1
777,19,67,8,2,C3
778,20,71,9,2,C3
779,24,71,6,2,C3
780,21,71,8,2,C3
781,12,94,6,1,C2
782,22,61,6,2,C3
783,24,63,8,2,C3
784,23,71,7,2,C3
785,26,68,8,2,C3
786,25,69,7,2,C3
787,23,92,8,0,C1
788,20,83,9,0,C1
789,10,60,9,2,C3
790,23,77,8,2,C3
791,21,76,8,2,C3
792,22,65,7,2,C3
793,12,87,7,0,C1
794,14,88,8,0,C1
795,26,89,7,0,C1
796,20,89,8,0,C1
797,24,60,9,2,C3
798,20,98,7,0,C1
799,20,93,4,1,C2
800,26,96,10,0,C1
801,17,61,6,2,C3
802,21,97,7,0,C1
803,17,92,8,0,C1
804,17,93,9,0,C1
805,18,64,10,2,C3
806,21,90,6,1,C2
807,17,98,9,0,C1
808,28,87,7,0,C1
809,15,83,10,0,C1
810,19,98,9,0,C1
811,17,78,7,2,C3
812,29,84,6,1,C2
813,21,79,4,1,C2
814,26,97,8,0,C1
815,11,63,9,2,C3
816,22,80,8,0,C1
817,25,87,4,1,C2
818,20,92,5,1,C2
819,26,83,8,0,C1
820,17,96,10,0,C1
821,28,98,7,0,C1
822,34,63,9,2,C3
823,18,76,5,1,C2
824,17,61,7,2,C3
825,29,73,7,2,C3
826,29,81,9,0,C1
827,17,96,6,1,C2
828,17,94,10,0,C1
829,18,65,7,2,C3
830,12,64,5,1,C2
831,14,84,5,1,C2
832,14,81,6,1,C2
833,15,71,8,2,C3
834,20,96,6,1,C2
835,21,97,6,1,C2
836,29,76,8,2,C3
837,14,96,4,1,C2
838,26,75,6,1,C2
839,19,89,5,1,C2
840,20,79,6,1,C2
841,24,65,7,2,C3
842,13,97,7,0,C1
843,22,78,7,2,C3
844,21,89,9,0,C1
845,23,75,7,2,C3
846,22,61,10,2,C3
847,35,64,8,2,C3
848,16,80,6,1,C2
849,17,88,10,0,C1
850,16,73,7,2,C3
851,17,88,10,0,C1
852,16,88,7,0,C1
853,27,88,7,0,C1
854,29,80,8,0,C1
855,17,97,7,0,C1
856,15,80,9,0,C1
857,23,78,10,0,C1
858,17,68,4,1,C2
859,24,72,8,2,C3
860,21,62,6,2,C3
861,11,85,4,1,C2
862,29,70,8,2,C3
863,31,72,8,2,C3
864,16,91,8,0,C1
865,18,73,8,2,C3
866,22,70,8,2,C3
867,22,67,6,2,C3
868,24,91,7,0,C1
869,32,65,8,2,C3
870,19,78,9,0,C1
871,15,80,7,0,C1
872,12,87,7,0,C1
873,16,85,7,0,C1
874,20,92,5,1,C2
875,31,62,8,2,C3
876,17,72,5,1,C2
877,21,71,8,2,C3
878,20,66,7,2,C3
879,27,72,5,1,C2
880,35,72,5,1,C2
881,17,81,6,1,C2
882,17,87,6,1,C2
883,26,75,9,2,C3
884,24,89,7,0,C1
885,31,73,8,2,C3
886,24,72,9,2,C3
887,18,82,9,0,C1
888,24,61,7,2,C3
889,27,63,6,2,C3
890,25,77,8,2,C3
891,23,98,6,1,C2
892,26,89,10,0,C1
893,27,64,8,2,C3
894,28,94,7,0,C1
895,24,89,8,0,C1
896,19,84,7,0,C1
897,21,93,6,1,C2
898,27,76,8,2,C3
899,15,69,7,2,C3
900,22,80,10,0,C1
901,18,82,6,1,C2
902,20,82,8,0,C1
903,28,83,6,1,C2
904,21,98,6,1,C2
905,20,96,4,1,C2
906,12,95,8,0,C1
907,24,92,6,1,C2
908,24,98,9,0,C1
909,33,64,8,2,C3
910,18,71,7,2,C3
911,21,80,5,1,C2
912,21,94,8,0,C1
913,29,80,6,1,C2
914,19,90,5,1,C2
915,22,66,8,2,C3
916,24,70,5,1,C2
917,21,89,4,1,C2
918,17,67,9,2,C3
919,21,74,6,1,C2
920,26,71,4,1,C2
921,14,74,6,1,C2
922,21,88,6,1,C2
923,16,75,9,2,C3
924,27,82,5,1,C2
925,11,64,5,1,C2
926,17,92,8,0,C1
927,22,75,6,1,C2
928,29,86,7,0,C1
929,20,89,6,1,C2
930,17,68,10,2,C3
931,31,95,5,1,C2
932,11,85,7,0,C1
933,7,77,9,0,C1
934,23,67,6,2,C3
935,17,98,6,1,C2
936,14,90,8,0,C1
937,24,68,9,2,C3
938,21,74,6,1,C2
939,17,92,9,0,C1
940,12,88,7,0,C1
941,25,91,8,0,C1
942,24,78,9,0,C1
943,19,89,8,0,C1
944,31,75,7,2,C3
945,14,68,6,2,C3
946,11,85,10,0,C1
947,16,99,6,1,C2
948,20,72,7,2,C3
949,21,78,8,2,C3
950,19,87,8,0,C1
951,22,82,10,0,C1
952,12,94,7,0,C1
953,29,90,7,0,C1
954,20,62,9,2,C3
955,27,100,7,0,C1
956,22,90,8,0,C1
957,23,95,7,0,C1
958,23,86,8,0,C1
959,23,94,8,0,C1
960,24,64,6,2,C3
961,28,74,4,1,C2
962,21,95,4,1,C2
963,24,68,4,1,C2
964,19,63,7,2,C3
965,29,92,4,1,C2
966,16,93,7,0,C1
967,31,67,7,2,C3
968,20,94,8,0,C1
969,11,87,8,0,C1
970,21,81,8,0,C1
971,16,93,8,0,C1
972,25,77,7,2,C3
973,16,68,7,2,C3
974,17,71,6,2,C3
975,9,80,7,0,C1
976,17,81,5,1,C2
977,5,92,9,0,C1
978,10,92,6,1,C2
979,25,83,7,0,C1
980,25,91,7,0,C1
981,23,68,9,2,C3
982,14,62,4,1,C2
983,20,95,7,0,C1
984,20,63,8,2,C3
985,13,70,10,2,C3
986,29,88,7,0,C1
987,25,76,6,1,C2
988,19,95,10,0,C1
989,20,72,8,2,C3
990,21,60,9,2,C3
991,8,72,5,1,C2
992,19,83,8,0,C1
993,16,75,5,1,C2
994,14,81,5,1,C2
995,18,95,8,0,C1
996,31,96,8,0,C1
997,24,71,6,2,C3
998,17,78,9,0,C1
999,23,82,6,1,C2
1000,28,98,7,0,C1
1001,26,100,7,0,C1
1002,20,69,7,2,C3
1003,16,89,9,0,C1
1004,24,75,5,1,C2
1005,22,60,6,2,C3
1006,25,60,5,2,C3
1007,24,78,10,0,C1
1008,26,80,7,2,C3
1009,17,61,6,2,C3
1010,28,87,7,0,C1
1011,21,72,8,2,C3
1012,32,82,8,0,C1
1013,16,72,6,2,C3
1014,30,67,6,2,C3
1015,21,76,5,1,C2
1016,16,69,7,2,C3
1017,17,81,9,0,C1
1018,18,68,6,2,C3
1019,23,80,8,0,C1
1020,23,66,6,2,C3
1021,17,87,5,1,C2
1022,20,90,8,0,C1
1023,33,64,10,2,C3
1024,30,79,8,2,C3
1025,23,63,6,2,C3
1026,20,84,6,1,C2
1027,21,71,10,2,C3
1028,24,81,7,0,C1
1029,14,81,6,1,C2
1030,18,97,7,0,C1
1031,10,82,7,0,C1
1032,22,83,8,0,C1
1033,24,76,9,2,C3
1034,17,98,9,0,C1
1035,29,91,7,0,C1
1036,13,71,7,2,C3
1037,11,94,8,0,C1
1038,21,77,6,1,C2
1039,26,93,8,0,C1
1040,30,93,7,0,C1
1041,17,68,8,2,C3
1042,26,88,10,0,C1
1043,20,72,8,2,C3
1044,19,72,7,2,C3
1045,25,72,6,2,C3
1046,24,89,7,0,C1
1047,11,69,5,1,C2
1048,29,60,8,2,C3
1049,28,89,4,1,C2
1050,16,67,8,2,C3
1051,22,64,8,2,C3
1052,23,70,7,2,C3
1053,22,75,6,1,C2
1054,17,79,7,2,C3
1055,16,62,4,1,C2
1056,20,99,8,0,C1
1057,27,89,7,0,C1
1058,23,73,9,2,C3
1059,18,73,8,2,C3
1060,25,78,7,2,C3
1061,3,85,8,0,C1
1062,27,66,6,2,C3
1063,10,68,6,2,C3
1064,18,94,7,0,C1
1065,13,70,7,2,C3
